Seizoen,Speler,Club,Assist,Kampioen
1996,Peter Hoekstra,Ajax,14,Ajax
1997,Wim Jonk,PSV,20,PSV
1998,Wim Jonk,PSV,14,Ajax
1999,Eric van der Luer,Roda JC,15,Feyenoord
2000,Ruud van Nistelrooij,PSV,8,PSV
2001,Jack de Gier,NEC,3,PSV
2002,Dennis Rommedahl,PSV,14,Ajax
2003,Dennis Rommedahl,PSV,15,PSV
2004,Adil Ramzi,FC Twente,13,Ajax
2005,Uğur Yıldırım,SC Heerenveen,19,PSV
2006,Dirk Kuyt,Feyenoord,18,PSV
2007,Phillip Cocu,PSV,11,PSV
2008,Luis Suarez,Ajax,14,PSV
2009,Luis Suarez,Ajax,14,AZ
2010,Luis Suarez,Ajax,17,FC Twente
2011,Dušan Tadić,FC Groningen,17,Ajax
2012,Luciano Narsingh,SC Heerenveen,20,Ajax
2013,Christian Eriksen,Ajax,8,Ajax
2014,Dušan Tadić,FC Twente,14,Ajax
2015,Hakim Ziyech,FC Twente,16,PSV
2016,Édouard Duplan,ADO,10,PSV
2017,Hakim Ziyech,Ajax,12,Feyenoord
